PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,1,0,25/09/2009,5,17,19,25,31,38,46,4
LOTTO MAX,2,0,02/10/2009,8,27,28,29,31,32,35,11
LOTTO MAX,3,0,09/10/2009,5,15,25,38,42,46,47,26
LOTTO MAX,4,0,16/10/2009,4,10,18,20,31,35,44,29
LOTTO MAX,5,0,23/10/2009,4,7,10,12,23,25,36,18
LOTTO MAX,6,0,30/10/2009,6,9,10,14,17,18,19,46
LOTTO MAX,7,0,06/11/2009,2,7,8,11,16,17,18,12
LOTTO MAX,7,1,06/11/2009,1,3,10,24,31,32,42,0
LOTTO MAX,7,2,06/11/2009,9,14,24,35,37,38,40,0
LOTTO MAX,7,3,06/11/2009,24,28,30,32,43,44,47,0
LOTTO MAX,7,4,06/11/2009,2,19,30,38,40,46,47,0
LOTTO MAX,7,5,06/11/2009,6,8,11,21,23,28,48,0
LOTTO MAX,7,6,06/11/2009,7,11,14,16,34,44,46,0
LOTTO MAX,7,7,06/11/2009,10,13,17,18,26,28,40,0
LOTTO MAX,7,8,06/11/2009,1,4,10,21,29,36,40,0
LOTTO MAX,7,9,06/11/2009,6,9,10,24,29,47,49,0
LOTTO MAX,7,10,06/11/2009,2,14,16,18,23,36,44,0
LOTTO MAX,8,0,13/11/2009,8,18,27,28,38,41,48,36
LOTTO MAX,9,0,20/11/2009,2,8,28,30,36,39,42,24
LOTTO MAX,10,0,27/11/2009,11,15,24,26,37,38,43,17
LOTTO MAX,11,0,04/12/2009,1,6,13,19,32,35,40,7
LOTTO MAX,12,0,11/12/2009,1,4,5,7,22,29,48,13
LOTTO MAX,13,0,18/12/2009,8,10,15,17,33,34,35,13
LOTTO MAX,14,0,25/12/2009,8,9,12,13,29,30,31,47
LOTTO MAX,15,0,01/01/2010,7,9,13,18,27,33,44,15
LOTTO MAX,16,0,08/01/2010,8,17,21,23,24,28,39,31
LOTTO MAX,17,0,15/01/2010,12,17,22,30,34,43,49,48
LOTTO MAX,18,0,22/01/2010,17,26,30,32,34,39,41,49
LOTTO MAX,19,0,29/01/2010,16,17,22,24,40,41,47,45
LOTTO MAX,20,0,05/02/2010,10,19,25,29,39,41,42,21
LOTTO MAX,21,0,12/02/2010,9,12,17,23,34,42,47,37
LOTTO MAX,22,0,19/02/2010,4,23,27,32,35,43,47,24
LOTTO MAX,23,0,26/02/2010,2,27,30,32,35,36,38,39
LOTTO MAX,23,1,26/02/2010,12,16,21,33,34,35,43,0
LOTTO MAX,23,2,26/02/2010,9,15,18,19,21,39,49,0
LOTTO MAX,23,3,26/02/2010,14,15,19,22,36,39,46,0
LOTTO MAX,23,4,26/02/2010,3,15,18,26,37,44,49,0
LOTTO MAX,23,5,26/02/2010,7,15,16,19,32,37,47,0
